"plate"	"sample"	"strain"	"concentration"	"max_slope"	"max_size"
"92"	2	"E11"	"LL13_40"	"6"	0.0186776396953675	0.51048
"93"	2	"E2"	"BY_1n"	"6"	0.00982471984236877	0.31782
"94"	2	"E3"	"cot1"	"6"	0.00685200000000001	0.2462
"95"	2	"E4"	"BY_2n"	"6"	0.0116521084237014	0.3248
"96"	2	"E5"	"LL13_40"	"6"	0.0105857093059174	0.3544
"97"	2	"E6"	"LL13_54"	"6"	0.013328	0.41878
"98"	2	"E7"	"Jean_Talon"	"6"	0.0419120000000001	0.606
"99"	2	"E8"	"London"	"6"	0.032052	0.52642
"100"	2	"E9"	"Windsor"	"6"	0.0281400000000001	0.50175
"101"	2	"F10"	"London"	"8"	0.017564110216288	0.3918
"102"	2	"F11"	"LL13_40"	"8"	0.00659600000000004	0.29997
"103"	2	"F2"	"BY_1n"	"8"	0.00526399999999997	0.25798
"104"	2	"F3"	"cot1"	"8"	0.00473199999999999	0.2225
"105"	2	"F4"	"BY_2n"	"8"	0.00633199999999996	0.26458
"106"	2	"F5"	"LL13_40"	"8"	0.00420000000000006	0.23192
"107"	2	"F6"	"LL13_54"	"8"	0.00669200000000005	0.27992
"108"	2	"F7"	"Jean_Talon"	"8"	0.02248	0.4818
"109"	2	"F8"	"London"	"8"	0.0184599999999999	0.41428
"110"	2	"F9"	"Windsor"	"8"	0.01972	0.45697
"111"	2	"G10"	"London"	"10"	0.00800625864985839	0.29345
"112"	2	"G11"	"LL13_40"	"10"	0.00467199999999998	0.23065
"113"	2	"G2"	"BY_1n"	"10"	0.00461600000000004	0.2351
"114"	2	"G3"	"cot1"	"10"	0.00390671583289431	0.21503
"115"	2	"G4"	"BY_2n"	"10"	0.00514286310845912	0.2394
"116"	2	"G5"	"LL13_40"	"10"	0.00328800000000003	0.2036
"117"	2	"G6"	"LL13_54"	"10"	0.00491599999999999	0.23005
"118"	2	"G7"	"Jean_Talon"	"10"	0.0129571262197416	0.3605
"119"	2	"G8"	"London"	"10"	0.00956987644307454	0.31245
"120"	2	"G9"	"Windsor"	"10"	0.00686400000000002	0.28378
"121"	3	"B10"	"LL13_54"	"0"	0.242268	1.2232
"122"	3	"B11"	"BY_2n"	"0"	0.152406041817855	1.0467
"123"	3	"B2"	"BY_1n"	"0"	0.156029397301999	1.1264
"124"	3	"B3"	"cot1"	"0"	0.155532219478537	1.1203
"125"	3	"B4"	"BY_2n"	"0"	0.152485996496767	1.0635
"126"	3	"B5"	"LL13_40"	"0"	0.245392	1.2261
"127"	3	"B6"	"LL13_54"	"0"	0.240416	1.2122
"128"	3	"B7"	"Jean_Talon"	"0"	0.213456	1.1323
"129"	3	"B8"	"London"	"0"	0.207064	1.1116
"130"	3	"B9"	"Windsor"	"0"	0.205216	1.1116
"131"	3	"C10"	"LL13_54"	"2"	0.161564	1.1478
"132"	3	"C11"	"BY_2n"	"2"	0.122548630282972	1.0795
"133"	3	"C2"	"BY_1n"	"2"	0.110211488009133	1.1558
"134"	3	"C3"	"cot1"	"2"	0.090284	1.0287
"135"	3	"C4"	"BY_2n"	"2"	0.121824	1.122
"136"	3	"C5"	"LL13_40"	"2"	0.158608	1.1438
"137"	3	"C6"	"LL13_54"	"2"	0.165596	1.172
"138"	3	"C7"	"Jean_Talon"	"2"	0.192124	1.1763
"139"	3	"C8"	"London"	"2"	0.184584	1.1623
"140"	3	"C9"	"Windsor"	"2"	0.181748	1.1636
"141"	3	"D10"	"LL13_54"	"4"	0.109112011440642	0.73213
"142"	3	"D11"	"BY_2n"	"4"	0.026864	0.34618
"143"	3	"D2"	"BY_1n"	"4"	0.02022	0.36047
"144"	3	"D3"	"cot1"	"4"	0.0151246213411697	0.30315
"145"	3	"D4"	"BY_2n"	"4"	0.025768	0.36783
"146"	3	"D5"	"LL13_40"	"4"	0.12322	0.77418
"147"	3	"D6"	"LL13_54"	"4"	0.12712	0.82235
"148"	3	"D7"	"Jean_Talon"	"4"	0.199819583116681	1.0609
"149"	3	"D8"	"London"	"4"	0.157908427769542	0.84575
"150"	3	"D9"	"Windsor"	"4"	0.15208	0.98168
"151"	3	"E10"	"LL13_54"	"6"	0.0161163751304236	0.45585
"152"	3	"E11"	"BY_2n"	"6"	0.012124	0.31133
"153"	3	"E2"	"BY_1n"	"6"	0.00875799202744537	0.30055
"154"	3	"E3"	"cot1"	"6"	0.00679599999999997	0.25162
"155"	3	"E4"	"BY_2n"	"6"	0.012028	0.33218
"156"	3	"E5"	"LL13_40"	"6"	0.0138440000000001	0.42618
"157"	3	"E6"	"LL13_54"	"6"	0.0152565866768757	0.45747
"158"	3	"E7"	"Jean_Talon"	"6"	0.0483919999999999	0.6304
"159"	3	"E8"	"London"	"6"	0.0338399999999999	0.56527
"160"	3	"E9"	"Windsor"	"6"	0.029472	0.55863
"161"	3	"F10"	"LL13_54"	"8"	0.00568800000000005	0.27678
"162"	3	"F11"	"BY_2n"	"8"	0.00723199999999998	0.26615
"163"	3	"F2"	"BY_1n"	"8"	0.00610263378225642	0.26405
"164"	3	"F3"	"cot1"	"8"	0.00630400000000001	0.24058
"165"	3	"F4"	"BY_2n"	"8"	0.00734232979492273	0.2784
"166"	3	"F5"	"LL13_40"	"8"	0.00537875646589104	0.26555
"167"	3	"F6"	"LL13_54"	"8"	0.005044	0.25845
"168"	3	"F7"	"Jean_Talon"	"8"	0.0246945040037017	0.5282
"169"	3	"F8"	"London"	"8"	0.0221510329087287	0.4758
"170"	3	"F9"	"Windsor"	"8"	0.0183719137793659	0.4444
"171"	3	"G10"	"LL13_54"	"10"	0.00307129778653458	0.22075
"172"	3	"G11"	"BY_2n"	"10"	0.0057947359894629	0.24153
"173"	3	"G2"	"BY_1n"	"10"	0.00507486933462962	0.23405
"174"	3	"G3"	"cot1"	"10"	0.00551200000000001	0.22892
"175"	3	"G4"	"BY_2n"	"10"	0.00659378272354978	0.25343
"176"	3	"G5"	"LL13_40"	"10"	0.00514800000000003	0.22668
"177"	3	"G6"	"LL13_54"	"10"	0.00488400000000001	0.2159
"178"	3	"G7"	"Jean_Talon"	"10"	0.0168679999999999	0.42297
"179"	3	"G8"	"London"	"10"	0.0125079999999999	0.363
"180"	3	"G9"	"Windsor"	"10"	0.00777999999999992	0.2827
"181"	4	"B10"	"Jean_Talon"	"0"	0.20734709103637	1.1219
"182"	4	"B11"	"Windsor"	"0"	0.199084	1.1317
"183"	4	"B2"	"BY_1n"	"0"	0.154352	1.091
"184"	4	"B3"	"cot1"	"0"	0.157212	1.0836
"185"	4	"B4"	"BY_2n"	"0"	0.152848952480483	1.0263
"186"	4	"B5"	"LL13_40"	"0"	0.242824	1.2141
"187"	4	"B6"	"LL13_54"	"0"	0.237952	1.2096
"188"	4	"B7"	"Jean_Talon"	"0"	0.208548	1.0957
"189"	4	"B8"	"London"	"0"	0.200232	1.088
