"VcfName","Pop"
"A.1968.SRA.DIS.variant","Ale 1"
"A.2565.SRA.DIS.variant","Ale 2"
"A.3942.SRA.DIS.variant","Ale 2"
"A.BRY-97.SRA.DIS.variant","Beer/baking"
"A.Coopers.SRA.DIS.variant","Beer/baking"
"A.Munich.SRA.DIS.variant","Ale 1"
"A.Muntons.SRA.DIS.variant","Beer/baking"
"A.Nottingham.SRA.DIS.variant","Ale 1"
"A.S-04.SRA.DIS.variant","Ale 1"
"A.S-33.SRA.DIS.variant","Beer/baking"
"A.T-58.SRA.DIS.variant","Beer/baking"
"A.US-05.SRA.DIS.variant","Ale 1"
"A.WB-06.SRA.DIS.variant","Europe/wine"
"A.Windson.SRA.DIS.variant","Beer/baking"
"ABM1.SRA.DIS.variant","Beer/baking"
"ABM2.SRA.DIS.variant","Beer/baking"
"ABM3.SRA.DIS.variant","Beer/baking"
"ABM4.SRA.DIS.variant","Beer/baking"
"ABM5.SRA.DIS.variant","Beer/baking"
"AN1f2.SRA.DIS.variant","Asia/sake"
"AN1g2.SRA.DIS.variant","Asia/sake"
"AN3e1.SRA.DIS.variant","Europe/wine"
"AWRI1631.asm.ASM.DIS.variant","Europe/wine"
"AWRI796.asm.ASM.DIS.variant","Europe/wine"
"BC187.asm.ASM.DIS.variant","Europe/wine"
"BC217.SRA.DIS.variant","Europe/wine"
"BJ10.SRA.DIS.variant","Europe/wine"
"BJ20.SRA.DIS.variant","China"
"BY4741.asm.ASM.DIS.variant","Lab"
"BY4742.asm.ASM.DIS.variant","Lab"
"CBS_7960.asm.ASM.DIS.variant","Asia/sake"
"CBS1483.LAG.DIS.variant","Europe/wine"
"CBS1585.SAM.variant","Lager"
"CBS1598.SAM.variant","Asia/sake"
"CBS435.SAM.variant","Asia/sake"
"CCY48-91.LAG.DIS.variant","Lager"
"CEN.PK113-7D.asm.ASM.DIS.variant","Lab"
"CEN.PK2-1Ca.asm.ASM.DIS.variant","Lab"
"CLIB215.wugc.ASM.DIS.variant","Europe/wine"
"D273-10B.asm.ASM.DIS.variant","Lab"
"DAV1e.SRA.DIS.variant","Europe/wine"
"DBVPG1106.SGRP.ASM.DIS.variant","Europe/wine"
"DBVPG1373.SGRP.ASM.DIS.variant","Europe/wine"
"DBVPG1788.SRA.DIS.variant","Europe/wine"
"DBVPG6044.SGRP.ASM.DIS.variant","Africa"
"DBVPG6765.SGRP.ASM.DIS.variant","Europe/wine"
"EC9-8.asm.ASM.DIS.variant","Clinical"
"EN14S01.SAM.variant","China"
"Ethanol_Red.asm.ASM.DIS.variant","Asia/sake"
"EXF6719.SRA.DIS.variant","Europe/wine"
"EXF6761.SRA.DIS.variant","Japan 2"
"EXF6780.SRA.DIS.variant","Europe/wine"
"EXF7145.SRA.DIS.variant","Med/oak"
"EXF7197.SRA.DIS.variant","Med/oak"
"EXF7200.SRA.DIS.variant","Europe/wine"
"Fermicru4F9.SAM.variant","Europe/wine"
"FGXd.SRA.DIS.variant","Med/oak"
"FostersB.SAM.variant","Ale 1"
"FostersO.SAM.variant","Ale 1"
"FY1679.asm.ASM.DIS.variant","Lab"
"GSY2239.asm.ASM.DIS.variant","Europe/wine"
"HN14.SRA.DIS.variant","Africa"
"HN6.SRA.DIS.variant","China"
"HUN9.SRA.DIS.variant","Med/oak"
"I14.wugc.ASM.DIS.variant","Europe/wine"
"IL01.wugc.ASM.DIS.variant","Med/oak"
"IOC9002.SRA.DIS.variant","Europe/wine"
"IR-2.asm.ASM.DIS.variant","Clinical"
"ISO12.asm.ASM.DIS.variant","Asia/sake"
"JAY291.asm.ASM.DIS.variant","Europe/wine"
"JK9-3d.asm.ASM.DIS.variant","Lab"
"K11.asm.ASM.DIS.variant","Asia/sake"
"Kyokai_no.7.asm.ASM.DIS.variant","Asia/sake"
"L.2112.SRA.DIS.variant","Lager"
"L.2278.SRA.DIS.variant","Lager"
"L.Brewferm.SRA.DIS.variant","Beer/baking"
"L.S-23.SRA.DIS.variant","Lager"
"L.W-34-70.SRA.DIS.variant","Lager"
"L.WLP820.SRA.DIS.variant","Lager"
"L1374.SRA.DIS.variant","Europe/wine"
"L1528.SGRP.ASM.DIS.variant","Europe/wine"
"Lalvin_QA23.asm.ASM.DIS.variant","Europe/wine"
"M22.wugc.ASM.DIS.variant","Europe/wine"
"M3707.asm.ASM.DIS.variant","Asia/sake"
"M3836.asm.ASM.DIS.variant","Asia/sake"
"M3837.asm.ASM.DIS.variant","Asia/sake"
"M3838.asm.ASM.DIS.variant","Asia/sake"
"M3839.asm.ASM.DIS.variant","Asia/sake"
"M5.asm.ASM.DIS.variant","Europe/wine"
"MB7c.SRA.DIS.variant","Med/oak"
"N85.asm.ASM.DIS.variant","Asia/sake"
"NAM34-4C.asm.ASM.DIS.variant","Clinical"
"NRRL_Y-12632.asm.ASM.DIS.variant","Ale 2"
"NRRLY1157.SAM.variant","Asia/sake"
"NRRLY12844.SAM.variant","Asia/sake"
"NRRLYB4084.SAM.variant","Africa"
"NY1308.asm.ASM.DIS.variant","Asia/sake"
"P283.asm.ASM.DIS.variant","Europe/wine"
"P301.asm.ASM.DIS.variant","Europe/wine"
"Platinum.SAM.variant","Beer/baking"
"PW5.wugc.ASM.DIS.variant","Africa"
"PYCC4226.SAM.variant","Beer/baking"
"PYR4b.SRA.DIS.variant","Med/oak"
"PYR4e.SRA.DIS.variant","Med/oak"
"R008.asm.ASM.DIS.variant","Europe/wine"
"R103.asm.ASM.DIS.variant","Europe/wine"
"RedStar.asm.ASM.DIS.variant","Beer/baking"
"RM11-1a.asm.ASM.DIS.variant","Europe/wine"
"S288C.SRA.DIS.variant","Lab"
"SD1.SRA.DIS.variant","Africa"
"SDO2s1.SRA.DIS.variant","Japan 1"
"SDO3s1.SRA.DIS.variant","Japan 1"
"SEY6210.asm.ASM.DIS.variant","Lab"
"Sigma1278b.asm.ASM.DIS.variant","Africa"
"SK1.asm.ASM.DIS.variant","Japan 1"
"SM69s1.SRA.DIS.variant","Europe/wine"
"Smikatae.SAC.DIS.variant","S. mikate"
"SON4c.SRA.DIS.variant","Lab"
"Sparadoxus.SAC.DIS.variant","S. paradoxus"
"SX6.SRA.DIS.variant","China"
"T7.wugc.ASM.DIS.variant","Japan 2"
"T73.wugc.ASM.DIS.variant","Europe/wine"
"TUM127.SAM.variant","Asia/sake"
"TUM148.SAM.variant","Ale 2"
"TUM149.SAM.variant","Ale 1"
"TUM165.SAM.variant","Ale 1"
"TUM174.SAM.variant","Ale 2"
"TUM175.SAM.variant","Ale 1"
"TUM177.SAM.variant","Ale 2"
"TUM184.SAM.variant","Asia/sake"
"TUM205.SAM.variant","Ale 2"
"TUM208.SAM.variant","Ale 2"
"TUM210.SAM.variant","Ale 1"
"TUM211.SAM.variant","Ale 1"
"TUM213.SAM.variant","Ale 1"
"TUM308.SAM.variant","Ale 2"
"TUM338.SAM.variant","Ale 2"
"TUM380.SAM.variant","Asia/sake"
"TUM381.SAM.variant","Ale 1"
"TUM480.SAM.variant","Beer/baking"
"TUM503.SAM.variant","Ale 1"
"TUM506.SAM.variant","Beer/baking"
"TUM507.SAM.variant","Ale 1"
"TUM508.SAM.variant","Ale 1"
"TUM510.SAM.variant","Ale 1"
"TUM511.SAM.variant","Europe/wine"
"TUM513.SAM.variant","Ale 2"
"TUM68.SAM.variant","Asia/sake"
"UC5.wugc.ASM.DIS.variant","Asia/sake"
"UCD51.asm.ASM.DIS.variant","Europe/wine"
"UFMG_A-905.asm.ASM.DIS.variant","Europe/wine"
"UWO034333.SAM.variant","China"
"UWOPS03-461.4.SGRP.ASM.DIS.variant","China"
"UWOPS05_217_3.asm.ASM.DIS.variant","China"
"UWOPS83-787.3.SGRP.ASM.DIS.variant","Japan 2"
"UWOPS87-2421.SGRP.ASM.DIS.variant","Africa"
"VelF.SRA.DIS.variant","Europe/wine"
"Vin13.asm.ASM.DIS.variant","Europe/wine"
"VL3.asm.ASM.DIS.variant","Europe/wine"
"W.34.70a.LAG.DIS.variant","Lager"
"W.WLP045.SRA.DIS.variant","Beer/baking"
"W.WLP070.SRA.DIS.variant","Lager"
"W303.SGRP.ASM.DIS.variant","Lab"
"WE372.wugc.ASM.DIS.variant","Europe/wine"
"X2180-1A.asm.ASM.DIS.variant","Lab"
"Y12.SGRP.ASM.DIS.variant","Asia/sake"
"Y55.SGRP.ASM.DIS.variant","Africa"
"Y9combined.wugc.ASM.DIS.variant","Asia/sake"
"YJF153.SRA.DIS.variant","Japan 2"
"YJM1078.asm.ASM.DIS.variant","Europe/wine"
"YJM1083.asm.ASM.DIS.variant","Clinical"
"YJM1129.asm.ASM.DIS.variant","Europe/wine"
"YJM1133.asm.ASM.DIS.variant","Clinical"
"YJM1190.asm.ASM.DIS.variant","Clinical"
"YJM1199.asm.ASM.DIS.variant","Clinical"
"YJM1202.asm.ASM.DIS.variant","Clinical"
"YJM1208.asm.ASM.DIS.variant","Clinical"
"YJM1242.asm.ASM.DIS.variant","Europe/wine"
"YJM1244.asm.ASM.DIS.variant","Europe/wine"
"YJM1248.asm.ASM.DIS.variant","Africa"
"YJM1250.asm.ASM.DIS.variant","Europe/wine"
"YJM1252.asm.ASM.DIS.variant","Europe/wine"
"YJM1273.asm.ASM.DIS.variant","Japan 2"
"YJM1304.asm.ASM.DIS.variant","Clinical"
"YJM1307.asm.ASM.DIS.variant","Asia/sake"
"YJM1311.asm.ASM.DIS.variant","Clinical"
"YJM1326.asm.ASM.DIS.variant","Clinical"
"YJM1332.asm.ASM.DIS.variant","Europe/wine"
"YJM1336.asm.ASM.DIS.variant","Europe/wine"
"YJM1338.asm.ASM.DIS.variant","Japan 2"
"YJM1341.asm.ASM.DIS.variant","Europe/wine"
"YJM1342.asm.ASM.DIS.variant","Japan 1"
"YJM1355.asm.ASM.DIS.variant","Europe/wine"
"YJM1356.asm.ASM.DIS.variant","Europe/wine"
"YJM1381.asm.ASM.DIS.variant","Clinical"
"YJM1383.asm.ASM.DIS.variant","Europe/wine"
"YJM1385.asm.ASM.DIS.variant","Clinical"
"YJM1386.asm.ASM.DIS.variant","Clinical"
"YJM1387.asm.ASM.DIS.variant","Europe/wine"
"YJM1388.asm.ASM.DIS.variant","Asia/sake"
"YJM1389.asm.ASM.DIS.variant","Asia/sake"
"YJM1399.asm.ASM.DIS.variant","Med/oak"
"YJM1400.asm.ASM.DIS.variant","Africa"
"YJM1401.asm.ASM.DIS.variant","Africa"
"YJM1402.asm.ASM.DIS.variant","Japan 1"
"YJM1415.asm.ASM.DIS.variant","Europe/wine"
"YJM1417.asm.ASM.DIS.variant","Europe/wine"
"YJM1418.asm.ASM.DIS.variant","China"
"YJM1419.asm.ASM.DIS.variant","Clinical"
"YJM1433.asm.ASM.DIS.variant","Europe/wine"
"YJM1434.asm.ASM.DIS.variant","Japan 2"
"YJM1439.asm.ASM.DIS.variant","Africa"
"YJM1443.asm.ASM.DIS.variant","Japan 2"
"YJM1444.asm.ASM.DIS.variant","Africa"
"YJM1447.asm.ASM.DIS.variant","China"
"YJM1450.asm.ASM.DIS.variant","Europe/wine"
"YJM1460.asm.ASM.DIS.variant","Asia/sake"
"YJM1463.asm.ASM.DIS.variant","Europe/wine"
"YJM1477.asm.ASM.DIS.variant","Europe/wine"
"YJM1478.asm.ASM.DIS.variant","Europe/wine"
"YJM1479.asm.ASM.DIS.variant","Africa"
"YJM1526.asm.ASM.DIS.variant","Europe/wine"
"YJM1527.asm.ASM.DIS.variant","Europe/wine"
"YJM1549.asm.ASM.DIS.variant","Clinical"
"YJM1573.asm.ASM.DIS.variant","Japan 1"
"YJM1574.asm.ASM.DIS.variant","Europe/wine"
"YJM1592.asm.ASM.DIS.variant","Asia/sake"
"YJM1615.asm.ASM.DIS.variant","Clinical"
"YJM189.asm.ASM.DIS.variant","Europe/wine"
"YJM193.asm.ASM.DIS.variant","Europe/wine"
"YJM195.asm.ASM.DIS.variant","Africa"
"YJM244.asm.ASM.DIS.variant","Europe/wine"
"YJM248.asm.ASM.DIS.variant","Europe/wine"
"YJM269.wugc.ASM.DIS.variant","Africa"
"YJM270.asm.ASM.DIS.variant","Europe/wine"
"YJM271.asm.ASM.DIS.variant","Europe/wine"
"YJM280.wugc.ASM.DIS.variant","Lab"
"YJM320.wugc.ASM.DIS.variant","Clinical"
"YJM326.wugc.ASM.DIS.variant","Clinical"
"YJM339.asm.ASM.DIS.variant","Clinical"
"YJM421.wugc.ASM.DIS.variant","Clinical"
"YJM428.asm.ASM.DIS.variant","Clinical"
"YJM450.asm.ASM.DIS.variant","Clinical"
"YJM451.wugc.ASM.DIS.variant","Clinical"
"YJM453.asm.ASM.DIS.variant","Europe/wine"
"YJM456.asm.ASM.DIS.variant","Japan 2"
"YJM470.asm.ASM.DIS.variant","Clinical"
"YJM541.asm.ASM.DIS.variant","Clinical"
"YJM554.asm.ASM.DIS.variant","Clinical"
"YJM555.asm.ASM.DIS.variant","Clinical"
"YJM627.asm.ASM.DIS.variant","Africa"
"YJM653.wugc.ASM.DIS.variant","Lab"
"YJM681.asm.ASM.DIS.variant","Clinical"
"YJM682.asm.ASM.DIS.variant","Clinical"
"YJM683.asm.ASM.DIS.variant","Clinical"
"YJM689.asm.ASM.DIS.variant","Clinical"
"YJM693.asm.ASM.DIS.variant","Clinical"
"YJM789.asm.ASM.DIS.variant","Clinical"
"YJM969.asm.ASM.DIS.variant","Europe/wine"
"YJM972.asm.ASM.DIS.variant","Europe/wine"
"YJM975.SGRP.ASM.DIS.variant","Europe/wine"
"YJM978.asm.ASM.DIS.variant","Europe/wine"
"YJM981.asm.ASM.DIS.variant","Europe/wine"
"YJM984.asm.ASM.DIS.variant","Europe/wine"
"YJM987.asm.ASM.DIS.variant","Europe/wine"
"YJM990.asm.ASM.DIS.variant","Europe/wine"
"YJM993.asm.ASM.DIS.variant","Europe/wine"
"YJM996.asm.ASM.DIS.variant","Europe/wine"
"YJSH1.asm.ASM.DIS.variant","Asia/sake"
"YMD1834.SRA.DIS.variant","Europe/wine"
"YMD1864.SRA.DIS.variant","Ale 1"
"YMD1865.SRA.DIS.variant","Ale 1"
"YMD1866.SRA.DIS.variant","Ale 1"
"YMD1867.SRA.DIS.variant","Ale 1"
"YMD1868.SRA.DIS.variant","Ale 1"
"YMD1869.SRA.DIS.variant","Ale 1"
"YMD1870.SRA.DIS.variant","Ale 1"
"YMD1871.SRA.DIS.variant","Ale 2"
"YMD1872.SRA.DIS.variant","Ale 1"
"YMD1873.SRA.DIS.variant","Ale 1"
"YMD1874.SRA.DIS.variant","Lager"
"YMD1875.SRA.DIS.variant","Ale 2"
"YMD1950.SRA.DIS.variant","Ale 2"
"YMD1952.SRA.DIS.variant","Ale 2"
"YMD1981.SRA.DIS.variant","Ale 1"
"YO1047.SRA.DIS.variant","unk"
"YO1112.SRA.DIS.variant","unk"
"YO1114.SRA.DIS.variant","unk"
"YO1128.SRA.DIS.variant","unk"
"YO1133.SRA.DIS.variant","unk"
"YO1164.SRA.DIS.variant","unk"
"YO1201.SRA.DIS.variant","unk"
"YO1225.SRA.DIS.variant","unk"
"YO1348.SRA.DIS.variant","unk"
"YO1480.SRA.DIS.variant","unk"
"YO1487.SRA.DIS.variant","unk"
"YO1599.SRA.DIS.variant","unk"
"YO1600.SRA.DIS.variant","unk"
"YO317.SRA.DIS.variant","Africa"
"YO367.SRA.DIS.variant","Beer/baking"
"YO374.SRA.DIS.variant","Clinical"
"YO376.SRA.DIS.variant","Europe/wine"
"YO397.SRA.DIS.variant","Europe/wine"
"YO416.SRA.DIS.variant","Europe/wine"
"YO419.SRA.DIS.variant","Europe/wine"
"YO465.SRA.DIS.variant","Beer/baking"
"YO466.SRA.DIS.variant","Med/oak"
"YO468.SRA.DIS.variant","Asia/sake"
"YO645.SRA.DIS.variant","Clinical"
"YO647.SRA.DIS.variant","Asia/sake"
"YO648.SRA.DIS.variant","Asia/sake"
"YO649.SRA.DIS.variant","Asia/sake"
"YO670.SRA.DIS.variant","Asia/sake"
"YO672.SRA.DIS.variant","Asia/sake"
"YO700.SRA.DIS.variant","Asia/sake"
"YO705.SRA.DIS.variant","Clinical"
"YO707.SRA.DIS.variant","Beer/baking"
"YO715.SRA.DIS.variant","Europe/wine"
"YO721.SRA.DIS.variant","Beer/baking"
"YO724.SRA.DIS.variant","China"
"YO728.SRA.DIS.variant","Clinical"
"YO730.SRA.DIS.variant","Med/oak"
"YO732.SRA.DIS.variant","Asia/sake"
"YO734.SRA.DIS.variant","Beer/baking"
"YO769.SRA.DIS.variant","Japan 1"
"YO770.SRA.DIS.variant","Asia/sake"
"YO798.SRA.DIS.variant","Clinical"
"YO807.SRA.DIS.variant","Beer/baking"
"YO814.SRA.DIS.variant","Europe/wine"
"YO815.SRA.DIS.variant","Africa"
"YO820.SRA.DIS.variant","Africa"
"YO823.SRA.DIS.variant","Africa"
"YO840.SRA.DIS.variant","Japan 2"
"YO841.SRA.DIS.variant","Asia/sake"
"YO849.SRA.DIS.variant","Europe/wine"
"YO870.SRA.DIS.variant","Japan 1"
"YO874.SRA.DIS.variant","Europe/wine"
"YPH499.asm.ASM.DIS.variant","Lab"
"YPS1000.SRA.DIS.variant","Africa"
"YPS1009.wugc.ASM.DIS.variant","Japan 1"
"YPS128.SGRP.ASM.DIS.variant","Japan 2"
"YPS163.wugc.ASM.DIS.variant","Japan 2"
"YS9.asm.ASM.DIS.variant","Beer/baking"
"ZP1008.SRA.DIS.variant","Med/oak"
"ZP1041.SRA.DIS.variant","Europe/wine"
"ZP530.SRA.DIS.variant","Japan 1"
"ZP541.SRA.DIS.variant","Med/oak"
"ZP560.SRA.DIS.variant","Med/oak"
"ZP561.SRA.DIS.variant","Med/oak"
"ZP562.SRA.DIS.variant","Med/oak"
"ZP563.SRA.DIS.variant","Med/oak"
"ZP564.SRA.DIS.variant","Med/oak"
"ZP565.SRA.DIS.variant","Med/oak"
"ZP566.SRA.DIS.variant","Med/oak"
"ZP567.SRA.DIS.variant","Med/oak"
"ZP568.SRA.DIS.variant","Med/oak"
"ZP570.SRA.DIS.variant","Med/oak"
"ZP575.SRA.DIS.variant","Med/oak"
"ZP577.SRA.DIS.variant","Europe/wine"
"ZP578.SRA.DIS.variant","Europe/wine"
"ZP579.SRA.DIS.variant","Europe/wine"
"ZP590.SRA.DIS.variant","Med/oak"
"ZP633.SRA.DIS.variant","Med/oak"
"ZP636.SRA.DIS.variant","Med/oak"
"ZP641.SRA.DIS.variant","Europe/wine"
"ZP650.SRA.DIS.variant","Japan 2"
"ZP651.SRA.DIS.variant","Japan 2"
"ZP652.SRA.DIS.variant","Japan 2"
"ZP653.SRA.DIS.variant","Japan 2"
"ZP674.SRA.DIS.variant","Japan 2"
"ZP675.SRA.DIS.variant","Japan 2"
"ZP676.SRA.DIS.variant","Japan 2"
"ZP677.SRA.DIS.variant","Japan 2"
"ZP680.SRA.DIS.variant","Japan 2"
"ZP736.SRA.DIS.variant","Med/oak"
"ZP742.SRA.DIS.variant","Med/oak"
"ZP778.SRA.DIS.variant","Japan 1"
"ZP779.SRA.DIS.variant","Japan 1"
"ZP780.SRA.DIS.variant","Japan 1"
"ZP781.SRA.DIS.variant","Japan 1"
"ZP783.SRA.DIS.variant","Japan 1"
"ZP784.SRA.DIS.variant","Japan 1"
"ZP786.SRA.DIS.variant","Japan 1"
"ZP793.SRA.DIS.variant","Japan 1"
"ZP794.SRA.DIS.variant","Japan 1"
"ZP796.SRA.DIS.variant","Japan 1"
"ZP817.SRA.DIS.variant","Japan 1"
"ZP823.SRA.DIS.variant","Japan 1"
"ZP850.SRA.DIS.variant","Med/oak"
"ZP851.SRA.DIS.variant","Med/oak"
"ZP860.SRA.DIS.variant","Med/oak"
"ZP861.SRA.DIS.variant","Europe/wine"
"ZP862.SRA.DIS.variant","Europe/wine"
"ZTW1.asm.ASM.DIS.variant","Asia/sake"
