Strain	VcfName	Location	Country	Continent	Type	Source	Population
L.S-23	L.S-23.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Lager	Lager
L.W-34-70	L.W-34-70.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Lager	Lager
L.WLP820	L.WLP820.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Lager	Lager
L1374	L1374.SRA.DIS.variant	Chile	Chile	South America	Domesticated	Wine must	Europe/wine
L1528	L1528.SGRP.ASM.DIS.variant	Chile	Chile	South America	Domesticated	Wine must	Europe/wine
Lalvin_QA23	Lalvin_QA23.asm.ASM.DIS.variant	Europe	Europe	Europe	Domesticated	Commercial wine yeast	Europe/wine
M22	M22.wugc.ASM.DIS.variant	Europe	Europe	Europe	Domesticated	Vineyard	Europe/wine
M3707	M3707.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Commercial distillers yeast	Asia/sake
M3836	M3836.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Segregant of commercial distillers yeast	Asia/sake
M3837	M3837.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Segregant of commercial distillers yeast	Asia/sake
M3838	M3838.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Segregant of commercial distillers yeast	Asia/sake
M3839	M3839.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Commercial distillers yeast	Asia/sake
M5	M5.asm.ASM.DIS.variant	Italy	Italy	Europe	Domesticated	Vineyard	Europe/wine
MB7c	MB7c.SRA.DIS.variant	Montbarri  Southern France	France	Europe	Wild	Quercus pubescens	Med/oak
N85	N85.asm.ASM.DIS.variant	China	China	Asia	Domesticated	Yellow Rice Wine	Asia/sake
NAM34-4C	NAM34-4C.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Haploid derivative of KF-7, a protoplast fusion of IR-2 and EP-1	Clinical
NRRL_Y-12632	NRRL_Y-12632.asm.ASM.DIS.variant	Netherlands	Netherlands	Europe	Domesticated	CBS1171 and was originally isolated from the brewer’s top yeast, in Netherlands in 1925	Ale 2
NRRL-Y-11572	NRRLY1157.SAM.variant	Japan	Japan	Asia	Domesticated	Sake moto	Asia/sake
NRRL-Y-12844	NRRLY12844.SAM.variant	Philippines	Philippines	Asia	Domesticated	Budod	Asia/sake
NRRLYB4084	NRRLYB4084.SAM.variant	Philippines	Philippines	Asia	Wild	Coconut sap	Africa
NY1308	NY1308.asm.ASM.DIS.variant	Henan, China	China	Asia	Domesticated	Industrial ethanol fermentation	Asia/sake
P283	P283.asm.ASM.DIS.variant	Italy	Italy	Europe	Wild	Grapes	Europe/wine
P301	P301.asm.ASM.DIS.variant	Italy	Italy	Europe	Wild	Grapes	Europe/wine
Platinum	Platinum.SAM.variant	NA	NA	NA	Domesticated	Commercial bread dough	Beer/baking
PW5	PW5.wugc.ASM.DIS.variant	Nigeria, Africa	Africa	Africa	Domesticated	Palm wine	Africa
PYCC4226	PYCC4226.SAM.variant	NA	NA	NA	Domesticated	Commercial bread dough	Beer/baking
PYR4b	PYR4b.SRA.DIS.variant	Halkidiki  Greece	Greece	Europe	Wild	Quercus pubescens	Med/oak
PYR4e	PYR4e.SRA.DIS.variant	Agios Ioannis  near Pyrgadikia  Northern Greece	Greece	Europe	Wild	Quercus pubescens	Med/oak
R008	R008.asm.ASM.DIS.variant	Italy	Italy	Europe	Wild	Grapes	Europe/wine
R103	R103.asm.ASM.DIS.variant	Italy	Italy	Europe	Wild	Grapes	Europe/wine
RedStar	RedStar.asm.ASM.DIS.variant	USA	USA	North America	Domesticated	Commercial baking	Beer/baking
RM11-1a	RM11-1a.asm.ASM.DIS.variant	N.America	North_America	North America	Domesticated	Vineyard	Europe/wine
S288C	S288C.SRA.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Lab
SD1	SD1.SRA.DIS.variant	Shandong, China	China	Asia	Wild	Persimon	Africa
SDO2s1	SDO2s1.SRA.DIS.variant	North Carolina, USA	USA	North America	Wild	Oak	Japan 1
SDO3s1	SDO3s1.SRA.DIS.variant	North Carolina, USA	USA	North America	Wild	Oak	Japan 1
SEY6210	SEY6210.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Lab
Sigma1278b	Sigma1278b.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Africa
SK1	SK1.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Japan 1
SM69s1	SM69s1.SRA.DIS.variant	North Carolina, USA	USA	NA	Wild	Oak	Europe/wine
x	Smikatae.SAC.DIS.variant	NA	NA	NA	NA	NA	S. mikate
SON4c	SON4c.SRA.DIS.variant	Portugal	Portugal	Europe	Wild	Ficus carica	Lab
x	Sparadoxus.SAC.DIS.variant	NA	NA	NA	NA	NA	S. paradoxus
SX6	SX6.SRA.DIS.variant	Shaanxi, China	China	Asia	Wild	Bark of Quercus fabri	China
T7	T7.wugc.ASM.DIS.variant	MO, USA	USA	North America	Wild	Oak	Japan 2
T73	T73.wugc.ASM.DIS.variant	Spain	Spain	Europe	Domesticated	Wine	Europe/wine
TUM127	TUM127.SAM.variant	Freising-Weihenstephan; Germany  (progeny of TUM 68)	Germany	Europe	Domesticated	Wheat beer	Asia/sake
TUM148	TUM148.SAM.variant	Düsseldorf; Germany	Germany	Europe	Domesticated	Alt beer	Ale 2
TUM149	TUM149.SAM.variant	Munich; Germany	Germany	Europe	Domesticated	Wheat beer	Ale 1
TUM165	TUM165.SAM.variant	Burton-upon-Trend; Great Britain	UK	Europe	Domesticated	British ale	Ale 1
TUM174	TUM174.SAM.variant	Mülheim; Germany	Germany	Europe	Domesticated	Regional beer similar to Kölsch beer	Ale 2
TUM175	TUM175.SAM.variant	Freising-Weihenstephan; Germany	Germany	Europe	Domesticated	Wheat beer	Ale 1
TUM177	TUM177.SAM.variant	Krefeld; Germany	Germany	Europe	Domesticated	Alt / Kölsch beer	Ale 2
TUM184	TUM184.SAM.variant	Düsseldorf; Germany	Germany	Europe	Domesticated	Alt beer	Asia/sake
TUM205	TUM205.SAM.variant	Würzburg; Germany	Germany	Europe	Domesticated	Wheat beer	Ale 2
TUM208	TUM208.SAM.variant	Rhineland-Palatinate; Germany	Germany	Europe	Domesticated	Alt beer	Ale 2
TUM210	TUM210.SAM.variant	Great Britain	UK	Europe	Domesticated	British ale / stout	Ale 1
TUM211	TUM211.SAM.variant	Great Britain	UK	Europe	Domesticated	British ale / stout	Ale 1
TUM213	TUM213.SAM.variant	Great Britain	UK	Europe	Domesticated	British ale / stout	Ale 1
TUM308	TUM308.SAM.variant	Rhineland-Palatinate; Germany	Germany	Europe	Domesticated	Alt beer	Ale 2
TUM338	TUM338.SAM.variant	Düsseldorf; Germany	Germany	Europe	Domesticated	Alt beer	Ale 2
TUM380	TUM380.SAM.variant	Belgium	Belgium	Europe	Domesticated	Starter culture for Lambic beer	Asia/sake
TUM381	TUM381.SAM.variant	Belgium	Belgium	Europe	Domesticated	Belgian beer	Ale 1
TUM480	TUM480.SAM.variant	South Africa	South_Africa	Africa	Domesticated	Opaque beer	Beer/baking
TUM503	TUM503.SAM.variant	NA	NA	NA	Domesticated	California ale	Ale 1
TUM506	TUM506.SAM.variant	Great Britain	UK	Europe	Domesticated	British ale	Beer/baking
TUM507	TUM507.SAM.variant	NA	NA	NA	Domesticated	Ale Beer from wheatmalt	Ale 1
TUM508	TUM508.SAM.variant	Ireland	Ireland	Europe	Domesticated	Irish ale / stout	Ale 1
TUM510	TUM510.SAM.variant	Great Britain	UK	NA	Domesticated	British ale	Ale 1
TUM511	TUM511.SAM.variant	NA	NA	NA	Domesticated	California ale	Europe/wine
TUM513	TUM513.SAM.variant	NA	NA	NA	Domesticated	California ale	Ale 2
TUM68	TUM68.SAM.variant	Freising-Weihenstephan; Germany 	Germany	Europe	Domesticated	Wheat beer	Asia/sake
UC5	UC5.wugc.ASM.DIS.variant	Japan	Japan	Asia	Domesticated	Sake	Asia/sake
UCD51	UCD51.asm.ASM.DIS.variant	France	France	Europe	Domesticated	Vineyard	Europe/wine
UFMG_A-905	UFMG_A-905.asm.ASM.DIS.variant	Brazil	Brazil	South America	Domesticated	cachaca production	Europe/wine
UWO034333	UWO034333.SAM.variant	Malaysia	Malaysia	Asia	Wild	Bertram Palm	China
UWOPS03.461.4	UWOPS03-461.4.SGRP.ASM.DIS.variant	Malaysia	Malaysia	Asia	Wild	Palm	China
UWOPS05_217_3	UWOPS05_217_3.asm.ASM.DIS.variant	Malaysia	Malaysia	Asia	Wild	Palm	China
UWOPS83.787.3	UWOPS83-787.3.SGRP.ASM.DIS.variant	Bahamas	Bahamas	North America	Wild	Fruit	Japan 2
UWOPS87.2421	UWOPS87-2421.SGRP.ASM.DIS.variant	Hawaii	Hawaii	North America	Wild	Cladode	Africa
VelF	VelF.SRA.DIS.variant	Velanidias  Southern Greece	Greece	Europe	Wild	Ficus carica	Europe/wine
Vin13	Vin13.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Commercial wine yeast	Europe/wine
VL3	VL3.asm.ASM.DIS.variant	France	France	Europe	Domesticated	Commercial wine yeast	Europe/wine
W.34.70a	W.34.70a.LAG.DIS.variant	NA	NA	NA	Domesticated	Lager	Lager
W.WLP045	W.WLP045.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Whiskey	Beer/baking
W.WLP070	W.WLP070.SRA.DIS.variant	NA	NA	NA	Domesticated	Commercial Whiskey	Lager
W303	W303.SGRP.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Lab
WE372	WE372.wugc.ASM.DIS.variant	S.Africa	South_Africa	Africa	Domesticated	Vineyard	Europe/wine
X2180-1A	X2180-1A.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Lab
Y12	Y12.SGRP.ASM.DIS.variant	Africa	Africa	Africa	Domesticated	Palm wine	Asia/sake
Y55	Y55.SGRP.ASM.DIS.variant	France	France	Europe	Domesticated	Wine	Africa
Y9	Y9combined.wugc.ASM.DIS.variant	Indonesia	Indonesia	Asia	Domesticated	Ragi	Asia/sake
YJF153	YJF153.SRA.DIS.variant	PA, USA	USA	North America	Domesticated	Oak	Japan 2
YJM1078	YJM1078.asm.ASM.DIS.variant	Portugal	Portugal	Europe	Human	Clinical	Europe/wine
YJM1083	YJM1083.asm.ASM.DIS.variant	NC, USA	USA	North America	Human	Clinical	Clinical
YJM1129	YJM1129.asm.ASM.DIS.variant	OH  USA	USA	North America	Domesticated	Distillery	Europe/wine
YJM1133	YJM1133.asm.ASM.DIS.variant	NC, USA	USA	North America	Human	Clinical	Clinical
YJM1190	YJM1190.asm.ASM.DIS.variant	MI, USA	USA	North America	Human	Clinical	Clinical
YJM1199	YJM1199.asm.ASM.DIS.variant	MI, USA	USA	North America	Human	Clinical	Clinical
YJM1202	YJM1202.asm.ASM.DIS.variant	MI, USA	USA	North America	Human	Clinical	Clinical
YJM1208	YJM1208.asm.ASM.DIS.variant	MI, USA	USA	North America	Human	Clinical	Clinical
YJM1242	YJM1242.asm.ASM.DIS.variant	IL  USA	USA	North America	Wild	Fruit	Europe/wine
YJM1244	YJM1244.asm.ASM.DIS.variant	Indonesia	Indonesia	Asia	Wild	Fruit	Europe/wine
YJM1248	YJM1248.asm.ASM.DIS.variant	West Africa	West_Africa	Africa	Domesticated	Wine	Africa
YJM1250	YJM1250.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Sugar cane	Europe/wine
YJM1252	YJM1252.asm.ASM.DIS.variant	Spain	Spain	Europe	Domesticated	Alpechin	Europe/wine
YJM1273	YJM1273.asm.ASM.DIS.variant	PA  USA	USA	North America	Wild	Oak tree	Japan 2
YJM1304	YJM1304.asm.ASM.DIS.variant	TX, USA	USA	North America	Human	Clinical	Clinical
YJM1307	YJM1307.asm.ASM.DIS.variant	DC, USA	USA	North America	Human	Clinical	Asia/sake
YJM1311	YJM1311.asm.ASM.DIS.variant	MI, USA	USA	North America	Human	Clinical	Clinical
YJM1326	YJM1326.asm.ASM.DIS.variant	MN, USA	USA	North America	Human	Clinical	Clinical
YJM1332	YJM1332.asm.ASM.DIS.variant	Italy	Italy	Europe	Domesticated	Wine	Europe/wine
YJM1336	YJM1336.asm.ASM.DIS.variant	Italy	Italy	Europe	Domesticated	Wine	Europe/wine
YJM1338	YJM1338.asm.ASM.DIS.variant	MD, USA	USA	North America	Wild	Sour fig	Japan 2
YJM1341	YJM1341.asm.ASM.DIS.variant	South Africa	South_Africa	Africa	Domesticated	Wine	Europe/wine
YJM1342	YJM1342.asm.ASM.DIS.variant	South Africa	South_Africa	Africa	Wild	Soil	Japan 1
YJM1355	YJM1355.asm.ASM.DIS.variant	IL, USA	USA	North America	Domesticated	Molasses	Europe/wine
YJM1356	YJM1356.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Cider	Europe/wine
YJM1381	YJM1381.asm.ASM.DIS.variant	Trinidad	Trinidad	South America	Domesticated	Rum fermentation	Clinical
YJM1383	YJM1383.asm.ASM.DIS.variant	Philippines	Philippines	Asia	Wild	Coconut	Europe/wine
YJM1385	YJM1385.asm.ASM.DIS.variant	MD, USA	USA	North America	Domesticated	Sugar refinery	Clinical
YJM1386	YJM1386.asm.ASM.DIS.variant	Jamaica	Jamaica	North America	Domesticated	Sugar cane	Clinical
YJM1387	YJM1387.asm.ASM.DIS.variant	Japan	Japan	Asia	Domesticated	Wine	Europe/wine
YJM1388	YJM1388.asm.ASM.DIS.variant	Malaya	NA	NA	Wild	Fermented tapioca	Asia/sake
YJM1389	YJM1389.asm.ASM.DIS.variant	Thailand	Thailand	Asia	Wild	Sewage	Asia/sake
YJM1399	YJM1399.asm.ASM.DIS.variant	NA	NA	NA	Wild	Wild cherry tree gum	Med/oak
YJM1400	YJM1400.asm.ASM.DIS.variant	Philippines	Philippines	Asia	Wild	Guava	Africa
YJM1401	YJM1401.asm.ASM.DIS.variant	Philippines	Philippines	Asia	Wild	Papaya	Africa
YJM1402	YJM1402.asm.ASM.DIS.variant	NA	NA	NA	Wild	Grape vine	Japan 1
YJM1415	YJM1415.asm.ASM.DIS.variant	France	France	Europe	Wild	Wine	Europe/wine
YJM1417	YJM1417.asm.ASM.DIS.variant	HI  USA	USA	North America	NA	ND	Europe/wine
YJM1418	YJM1418.asm.ASM.DIS.variant	Japan	Japan	Asia	Wild	Oak tree	China
YJM1419	YJM1419.asm.ASM.DIS.variant	NA	NA	NA	Human	Bagasse	Clinical
YJM1433	YJM1433.asm.ASM.DIS.variant	France	France	Europe	Domesticated	Wine	Europe/wine
YJM1434	YJM1434.asm.ASM.DIS.variant	PA, USA	USA	North America	Wild	Oak	Japan 2
YJM1439	YJM1439.asm.ASM.DIS.variant	West Africa	West_Africa	Africa	Domesticated	Ginger beer	Africa
YJM1443	YJM1443.asm.ASM.DIS.variant	Bahamas	Bahamas	North America	Wild	Fruit	Japan 2
YJM1444	YJM1444.asm.ASM.DIS.variant	Hawaii	Hawaii	North America	Wild	Cladode	Africa
YJM1447	YJM1447.asm.ASM.DIS.variant	Malaysia	Malaysia	Asia	Wild	Bertam Palm	China
YJM1450	YJM1450.asm.ASM.DIS.variant	Newcastle, UK	UK	Europe	Human	Clinical	Europe/wine
YJM1460	YJM1460.asm.ASM.DIS.variant	Africa	Africa	Africa	Domesticated	Palm Wine	Asia/sake
YJM1463	YJM1463.asm.ASM.DIS.variant	Ethiopia	Ethiopia	Africa	Domesticated	White Tecc	Europe/wine
YJM1477	YJM1477.asm.ASM.DIS.variant	MO  USA	USA	North America	Domesticated	Blatz beer	Europe/wine
YJM1478	YJM1478.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Kefir	Europe/wine
YJM1479	YJM1479.asm.ASM.DIS.variant	Philippines	Philippines	Asia	Wild	Coconut tuba	Africa
YJM1526	YJM1526.asm.ASM.DIS.variant	NA	NA	NA	Human	Clinical (throat)	Europe/wine
YJM1527	YJM1527.asm.ASM.DIS.variant	Winters, CA, USA	USA	North America	Wild	Prune	Europe/wine
YJM1549	YJM1549.asm.ASM.DIS.variant	Netherlands	Netherlands	Europe	Wild	Fermenting fruit juice	Clinical
