Strain	VcfName	Location	Country	Continent	Type	Source	Population
YO1047	YO1047.SRA.DIS.variant	NA	NA	NA	NA	NA	unk
YO1112	YO1112.SRA.DIS.variant	NA	NA	NA	NA	NA	unk
YO1114	YO1114.SRA.DIS.variant	NA	NA	NA	NA	NA	unk
YO1128	YO1128.SRA.DIS.variant	NA	NA	NA	NA	NA	unk
YO1133	YO1133.SRA.DIS.variant	NA	NA	NA	NA	NA	unk
YO1164	YO1164.SRA.DIS.variant	NA	NA	NA	NA	NA	unk
YO1201	YO1201.SRA.DIS.variant	NA	NA	NA	NA	NA	unk
YO1225	YO1225.SRA.DIS.variant	NA	NA	NA	NA	NA	unk
YO1348	YO1348.SRA.DIS.variant	NA	NA	NA	NA	NA	unk
YO1480	YO1480.SRA.DIS.variant	NA	NA	NA	NA	NA	unk
YO1487	YO1487.SRA.DIS.variant	NA	NA	NA	NA	NA	unk
YO1599	YO1599.SRA.DIS.variant	NA	NA	NA	NA	NA	unk
YO1600	YO1600.SRA.DIS.variant	NA	NA	NA	NA	NA	unk
YO317	YO317.SRA.DIS.variant	Philippines	Philippines	Asia	Wild	Coconut	Africa
YO367	YO367.SRA.DIS.variant	Evolution Canyon, Israel	Israel	Asia	Wild	South facing shady spot, Station 2	Beer/baking
YO374	YO374.SRA.DIS.variant	Evolution Canyon, Israel	Israel	Asia	Wild	Shady spot, Station 6	Clinical
YO376	YO376.SRA.DIS.variant	Evolution Canyon, Israel	Israel	Asia	Wild	Sunny spot	Europe/wine
YO397	YO397.SRA.DIS.variant	California, USA	USA	North America	Wild	Beetle from infested Prunus Bokhariensis	Europe/wine
YO416	YO416.SRA.DIS.variant	Ghana	Ghana	Africa	Domesticated	Cacao fermentation	Europe/wine
YO419	YO419.SRA.DIS.variant	Ghana	Ghana	Africa	Domesticated	Cacao fermentation	Europe/wine
YO465	YO465.SRA.DIS.variant	Gothenburg, Sweden	Sweden	Europe	Wild	Fish gut	Beer/baking
YO466	YO466.SRA.DIS.variant	Tanzania	Tanzania	Africa	Wild	Togwa	Med/oak
YO468	YO468.SRA.DIS.variant	Tanzania	Tanzania	Africa	Wild	Togwa	Asia/sake
YO645	YO645.SRA.DIS.variant	Costa Rica	Costa_Rica	North America	Wild	Banana	Clinical
YO647	YO647.SRA.DIS.variant	Nepal	Nepal	Asia	Wild	Murcha yeast cake	Asia/sake
YO648	YO648.SRA.DIS.variant	Malaysia	Malaysia	Asia	Wild	Tapioca	Asia/sake
YO649	YO649.SRA.DIS.variant	China	China	Asia	Wild	Fermented food	Asia/sake
YO670	YO670.SRA.DIS.variant	United States	USA	North America	Wild	Wheat starch	Asia/sake
YO672	YO672.SRA.DIS.variant	India	India	Asia	Wild	Jalebi, Indian fried (sweet) snack	Asia/sake
YO700	YO700.SRA.DIS.variant	Pakistan	Pakistan	Asia	Domesticated	Baker	Asia/sake
YO705	YO705.SRA.DIS.variant	Brazil	Brazil	South America	Wild	Fermented cassava mash	Clinical
YO707	YO707.SRA.DIS.variant	NA	NA	NA	Wild	Coconut pod	Beer/baking
YO715	YO715.SRA.DIS.variant	Italy	Italy	Europe	Domesticated	Stracchino cheese	Europe/wine
YO721	YO721.SRA.DIS.variant	NA	NA	NA	Domesticated	Kefyr (Y-393)	Beer/baking
YO724	YO724.SRA.DIS.variant	NA	NA	NA	Wild	Bark from Quercus variabi (Asian Oak)	China
YO728	YO728.SRA.DIS.variant	Jamaica	Jamaica	North America	Wild	Cane juice	Clinical
YO730	YO730.SRA.DIS.variant	NA	NA	NA	Wild	Wild cherry tree gum	Med/oak
YO732	YO732.SRA.DIS.variant	NA	NA	NA	Domesticated	Amylo process-isolating EtOH from starch	Asia/sake
YO734	YO734.SRA.DIS.variant	Yosemite, California, United States	USA	North America	Wild	D. pseudoobscura	Beer/baking
YO769	YO769.SRA.DIS.variant	San Diego County, California, USA	USA	North America	Wild	Mud, leaves	Japan 1
YO770	YO770.SRA.DIS.variant	San Diego County, California, USA	USA	North America	Domesticated	Segregant of commercial distillers yeast	Asia/sake
YO798	YO798.SRA.DIS.variant	New Orleans, LA, USA	USA	North America	Wild	Citrus juice	Clinical
YO807	YO807.SRA.DIS.variant	NA	NA	NA	Wild	Canned peaches	Beer/baking
YO814	YO814.SRA.DIS.variant	Nigeria	Nigeria	Africa	Wild	Unroasted beans, cacao	Europe/wine
YO815	YO815.SRA.DIS.variant	Nigeria	Nigeria	Africa	Wild	Unroasted beans, cacao	Africa
YO820	YO820.SRA.DIS.variant	Nigeria	Nigeria	Africa	Wild	Unroasted beans, cacao	Africa
YO823	YO823.SRA.DIS.variant	Nigeria	Nigeria	Africa	Wild	Unroasted beans, cacao	Africa
YO840	YO840.SRA.DIS.variant	Costa Rica	Costa_Rica	North America	Wild	Unroasted beans, cacao	Japan 2
YO841	YO841.SRA.DIS.variant	Costa Rica	Costa_Rica	North America	Wild	Unroasted beans, cacao	Asia/sake
YO849	YO849.SRA.DIS.variant	Peru	Peru	South America	Wild	Unroasted beans, cacao	Europe/wine
YO870	YO870.SRA.DIS.variant	Haiti	Haiti	North America	Wild	Unroasted beans, cacao	Japan 1
YO874	YO874.SRA.DIS.variant	Haiti	Haiti	North America	Wild	Unroasted beans, cacao	Europe/wine
YPH499	YPH499.asm.ASM.DIS.variant	NA	NA	NA	Domesticated	Laboratory	Lab
YPS1000	YPS1000.SRA.DIS.variant	New Jersey, USA	USA	North America	Wild	Oak exudate	Africa
YPS1009	YPS1009.wugc.ASM.DIS.variant	New Jersey, USA	USA	North America	Wild	Oak exudate	Japan 1
YPS128	YPS128.SGRP.ASM.DIS.variant	PA, USA	USA	North America	Wild	Oak	Japan 2
YPS163	YPS163.wugc.ASM.DIS.variant	PA, USA	USA	North America	Wild	Oak	Japan 2
YS9	YS9.asm.ASM.DIS.variant	Singapore	Singapore	Asia	Domesticated	Baker	Beer/baking
ZP1008	ZP1008.SRA.DIS.variant	Eja  Melres  Douro  Portugal	Portugal	Europe	Wild	Quercus faginea	Med/oak
ZP1041	ZP1041.SRA.DIS.variant	Meda  Guarda  Portugal	Portugal	Europe	Wild	Vineyard soil	Europe/wine
ZP530	ZP530.SRA.DIS.variant	Portugal	Portugal	Europe	Wild	Castanea sativa	Japan 1
ZP541	ZP541.SRA.DIS.variant	Adagoi  Portugal	Portugal	Europe	Wild	Fagus sylvatica	Med/oak
ZP560	ZP560.SRA.DIS.variant	Castelo de Vide  Portugal 	Portugal	Europe	Wild	Quercus pyrenaica	Med/oak
ZP561	ZP561.SRA.DIS.variant	Castelo de Vide  Portugal 	Portugal	Europe	Wild	Quercus pyrenaica	Med/oak
ZP562	ZP562.SRA.DIS.variant	Castelo de Vide  Portugal 	Portugal	Europe	Wild	Quercus ilex	Med/oak
ZP563	ZP563.SRA.DIS.variant	Castelo de Vide  Portugal	Portugal	Europe	Wild	Castanea sativa	Med/oak
ZP564	ZP564.SRA.DIS.variant	Castelo de Vide  Portugal 	Portugal	Europe	Wild	Quercus pyrenaica	Med/oak
ZP565	ZP565.SRA.DIS.variant	Castelo de Vide  Portugal 	Portugal	Europe	Wild	Castanea sativa	Med/oak
ZP566	ZP566.SRA.DIS.variant	Castelo de Vide  Portugal 	Portugal	Europe	Wild	Quercus faginea	Med/oak
ZP567	ZP567.SRA.DIS.variant	Castelo de Vide  Portugal 	Portugal	Europe	Wild	Quercus pyrenaica	Med/oak
ZP568	ZP568.SRA.DIS.variant	Castelo de Vide  Portugal 	Portugal	Europe	Wild	Quecus pyrenaica	Med/oak
ZP570	ZP570.SRA.DIS.variant	Paul Boquilobo  Portugal	Portugal	Europe	Wild	Fraxinus sp.	Med/oak
ZP575	ZP575.SRA.DIS.variant	Castelo de Vide  Portugal 	Portugal	Europe	Wild	Quercus pyrenaica	Med/oak
ZP577	ZP577.SRA.DIS.variant	Aldeia das Dez  Portugal	Portugal	Europe	Wild	Quercus faginea	Europe/wine
ZP578	ZP578.SRA.DIS.variant	Aldeia das Dez  Portugal	Portugal	Europe	Wild	Quercus faginea	Europe/wine
ZP579	ZP579.SRA.DIS.variant	Aldeia das Dez  Portugal	Portugal	Europe	Wild	Quercus pyrenaica	Europe/wine
ZP590	ZP590.SRA.DIS.variant	Castelo de Vide  Portugal 	Portugal	Europe	Wild	Quercus pyrenaica	Med/oak
